"11CK","13CK","15EK","17EK","18EK","18EK","21EK","21EK","20EK","22EK","26EK","26EK","28EK","28EK","33EK","36EK","30EK","33EK","36EK","38EK"
"11CK","13CK","15DK","17EK","18DK","18DK","21EK","21EK","20EK","22EK","26EK","26EK","28EK","28EK","33EK","36EK","30EK","33EK","36EK","38EK"
"11BK","13CK","15CK","17EK","18DK","18DK","21DK","21EK","20EK","22EK","26EK","26EK","28EK","28EK","33EK","36EK","30EK","33EK","36EK","38EK"
"11BK","13BK","15CK","17DK","18CK","18DK","21DK","21EK","20DK","22EK","26EK","26EK","28EK","28EK","32EK","36EK","30EK","33EK","36EK","37EK"
"11BK","13BK","15CK","17DK","18CK","18CK","21DK","21DK","20DK","22EK","26EK","26EK","28EK","28EK","32EK","35EK","29EK","32EK","35EK","37EK"
"11AK","13BK","15CK","17DK","18CK","18CK","21DK","21DK","20DK","21DK","25DK","25EK","27EK","27EK","32EK","35EK","29EK","32EK","35EK","37EK"
"11AK","13BK","15CK","17DK","18CK","18CK","20CK","20DK","19DK","21 DK","25DK","25EK","27EK","27EK","32EK","35EK","39EK","32EK","35EK","36EK"
"11AK","13AK","15BK","16CK","17CK","17CK","20CK","20DK","19CK","21 DK","25DK","25EK","27DK","27EK","32EK","34EK","28 DK","31 EK","34EK","36EK"
"11AK","13AK","15BK","16CK","17CK","17CK","20CK","20DK","19CK","21 DK","25DK","25DK","27DK","27DK","31EK","34EK","28DK","31 EK","34EK","36EK"
"11AK","13AK","14BK","16CK","17BK","17CK","20CK","20DK","19CK","21 DK","24DK","24DK","27DK","27DK","31 DK","34EK","28 DK","31 EK","34EK","35EK"
"11AK","13AK","14BK","16CK","17BK","17CK","20CK","20CK","19CK","20CK","24DK","24DK","26DK","26DK","31 DK","33EK","28DK","30DK","34EK","35EK"
"11","12AK","14BK","16CK","17BK","17BK","20CK","19CK","19CK","20CK","24DK","24DK","26DK","26DK","31 DK","33DK","27DK","30DK","33EK","35EK"
"11","12AK","14BK","16CK","17BK","17BK","19CK","19CK","18CK","20CK","24CK","24DK","26CK","26DK","30DK","33DK","27DK","30DK","33EK","34EK"
"10","12AK","14BK","16CK","17BK","17BK","19CK","19CK","18CK","20CK","23CK","23DK","26CK","26DK","30DK","32DK","27CK","29DK","33EK","34EK"
"10","12AK","14AK","15BK","16BK","16BK","19CK","19CK","18CK","20CK","23CK","23DK","26CK","25DK","30DK","32DK","26DK","29DK","32EK","34DK"
"10","12AK","14AK","15BK","16BK","16BK","19CK","19CK","18CK","19CK","23CK","23DK","25CK","25DK","29DK","32DK","26CK","29DK","32EK","33DK"
"10","12","14AK","15BK","16AK","16BK","19BK","18CK","18CK","19CK","23CK","23DK","25CK","25DK","29DK","32DK","26CK","29DK","32DK","33DK"
"10","12","13AK","15BK","16AK","16BK","18BK","18CK","18CK","19CK","22CK","22CK","25CK","25DK","29DK","31DK","26CK","28DK","32DK","33DK"
"10","12","13AK","15BK","16AK","16BK","18BK","18CK","17BK","19CK","22CK","22CK","25CK","25CK","29DK","31 DK","25CK","28CK","31 DK","32DK"
"10","12","13AK","15BK","16AK","16AK","18BK","18CK","17BK","19CK","22CK","22CK","25CK","24CK","28CK","31 DK","25CK","28CK","31 DK","32DK"
"10","12","13AK","15BK","16AK","16AK","18BK","18CK","17BK","18CK","22CK","22CK","24CK","24CK","28CK","30DK","25CK","27CK","31 DK","32DK"
"10","11","13AK","14BK","15AK","15AK","18BK","18BK","17BK","18CK","22CK","21CK","24CK","24CK","28CK","30DK","24CK","27CK","30DK","31 DK"
"10","11","13AK","14AK","15AK","15AK","18BK","17BK","17BK","18BK","21CK","21CK","24CK","24CK","28CK","30CK","24CK","27CK","30DK","31 DK"
"10","11","13AK","14AK","15AK","15AK","17BK","17BK","17BK","18BK","21CK","21CK","24CK","24CK","27CK","29CK","24BK","26CK","30DK","31CK"
"10","11","13AK","14AK","15AK","15AK","17BK","17BK","16BK","18BK","21CK","21CK","24CK","23CK","27CK","29CK","23BK","26CK","30DK","30CK"
"9","11","12AK","14AK","15AK","15AK","17AK","17BK","16BK","17BK","21CK","20CK","23BK","23CK","27CK","29CK","23BK","26CK","29DK","30CK"
"9","11","12","14AK","15AK","15AK","17AK","17BK","16BK","17BK","20BK","20CK","23BK","23CK","26CK","28CK","23BK","25CK","29DK","30CK"
"9","11","12","14AK","15AK","14AK","17AK","16BK","16BK","17BK","20BK","20CK","23BK","23CK","26CK","28CK","23BK","25BK","29CK","29CK"
"9","11","12","13AK","14AK","14AK","16AK","16BK","16BK","17BK","20BK","20CK","23BK","22CK","26CK","28CK","22BK","25BK","28CK","29CK"
"9","11","12","13AK","14","14AK","16AK","16BK","16BK","16BK","20BK","19CK","23BK","22CK","26CK","27CK","22BK","25BK","28CK","29CK"
"9","11","12","13AK","14","14AK","16AK","16BK","15AK","16BK","19BK","19CK","22BK","22CK","25CK","27CK","22AK","24BK","28CK","28CK"
"9","10","12","13AK","14","14AK","16AK","16BK","15AK","16BK","19BK","19CK","22BK","22CK","25CK","27CK","21 AK","24BK","28CK","28CK"
"9","10","12","13AK","14","14AK","16AK","15BK","15AK","16BK","19BK","19CK","22BK","22CK","25CK","27CK","21 AK","24BK","27CK","28BK"
"9","10","11","13AK","14","14AK","16AK","15AK","15AK","16BK","19BK","18BK","22BK","21 BK","25BK","26CK","21AK","23BK","27CK","27BK"
"9","10","11","13AK","14","13","15AK","15AK","15AK","15BK","18BK","18BK","21 BK","21 BK","24BK","26CK","21 AK","23BK","27CK","27BK !"
"9","10","11","12AK","13","13","15AK","15AK","15AK","15AK","18BK","18BK","21 BK","21 BK","24 BK","26BK","20AK","23BK","26CK","27BK"
"9","10","11","12","13","13","15AK","15AK","14AK","15AK","18BK","18BK","21 BK","21 BK","24BK","25BK","20AK","22AK","26CK","26BK"
"8","10","11","12","13","13","15AK","14AK","14AK","15AK","18BK","17BK","21 BK","21 BK","23BK","25BK","20AK","22AK","26CK","26BK"
"8","10","11","12","13","13","15AK","14AK","14AK","15AK","18BK","17BK","21 AK","20BK","23BK","25BK","19AK","22AK","26CK","16BK"
"8","10","11","12","13","13","14","14AK","14AK","14AK","17AK","17BK","20AK","20BK","23BK","24BK","19AK","21 AK","25BK","25BK"
"8","10","11","12","13","13","14","14AK","14AK","14AK","17AK","17BK","20AK","20BK","23BK","24BK","19AK","21 AK","25BK","25AK"
"8","9","10","11","13","12","14","14AK","13AK","14AK","17AK","16BK","20AK","20BK","22BK","24BK","19","21 AK","25BK","25AK"
"8","9","10","11","12","12","14","14AK","13AK","14AK","17AK","16BK","20AK","19BK","22BK","23BK","18","21 AK","24BK","24AK"
"8","9","10","11","12","12","14","13AK","13AK","14AK","16AK","16BK","20AK","19BK","22BK","23BK","18","20AK","24BK","24AK"
"8","9","10","11","12","12","14","13AK","13","13AK","16AK","16BK","19AK","19BK","22BK","23BK","18","20AK","24BK","24AK i"
"8","9","10","11","12","12","13","13AK","13","13AK","16AK","15BK","19AK","19BK","21 BK","22BK","17","20AK","24BK","23AK"
"8","9","10","11","12","12","13","13AK","13","13AK","16AK","15BK","19AK","19AK","21 BK","22BK","17","19","23BK","23AK"
"8","9","10","11","12","12","13","13AK","13","13AK","15AK","15BK","19AK","18AK","21BK","22BK","17","19","23BK","22AK"
"8","9","10","10","12","11","13","12AK","12","13AK","15AK","15AK","19AK","18AK","21 AK","22BK","16","19","23BK","22AK"
"7","9","9","10","11","11","13","12","12","12","15AK","14AK","18AK","18AK","20AK","21BK","16","18","22AK","22AK"
"7","9","9","10","11","11","12","12","12","12","15AK","14AK","18AK","18AK","20AK","21 BK","16","18","22AK","21 AK"
"7","8","9","10","11","11","12","12","12","12","14AK","14AK","18AK","18AK","20AK","21 AK","16","18","22AK","21"
"7","8","9","10","11","11","12","12","12","12","14AK","14AK","18AK","17AK","19AK","20AK","15","17","22AK","21"
"7","8","9","10","11","11","12","11","11","11","14AK","13AK","18AK","17AK","19AK","20AK","15","17","21 AK","20"
"7","8","9","10","11","10","12","11","11","11","14","13AK","17","17AK","19AK","20AK","15","17","21AK","20"
"7","8","9","9","11","10","12","11","11","11","14","13AK","17","17AK","19AK","19AK","14","17","21AK","20"
"7","8","9","9","10","10","11","11","11","11","13","13AK","17","16AK","18AK","19AK","14","16","20AK","19"
"7","8","8","9","10","10","11","11","11","11","13","12AK","17","16AK","18AK","19AK","14","16","20AK","19"
"7","8","8","9","10","10","11","11","11","10","13","12AK","17","16AK","18AK","18AK","14","16","20AK","19"
"7","8","8","9","10","10","11","10","10","10","13","12AK","16","16","18AK","18AK","13","15","20AK","18"
"7","8","8","9","10","10","11","10","10","10","12","12AK","16","16","17AK","18AK","13","15","19AK","18"
"6","7","8","9","10","9","10","10","10","10","12","11 AK","16","15","17AK","18AK","13","15","19","18"
"6","7","8","8","10","9","10","10","10","10","12","11 AK","16","15","17AK","17AK","12","14","19","17"
"6","7","8","8","9","9","10","10","10","9","12","11 AK","15","15","16AK","17AK","12","14","18","17"
"6","7","8","8","9","9","10","9","10","9","11","11","15","15","16","17AK","12","14","18","17"
"6","7",,"8","9","9","10","9","9","9","11","10","15","14","16","16AK","12","13","18","16"
"6","7","7","8","9","9","10","9","9","9","11","10","15","14","16","16AK","11","13","18","16"
"6","7","7","8","9","9","9","9","9","9","11","10","15","14","15","16AK","11","13","17","16"
"6","7","7","8","9","8","9","9","9","8","10","10","14","14","15","15AK","11","13","17","15"
"6","7","7","7","9","8","9","8","9","8","10","9","14","14","15","15","10","12","17","15"
"6","7","7","7","8","8","9","8","9","8","10","9","14","13","15","15","10","12","16","15"
"6","6","7","7","8","8","9","8","8","8","10","9","14","13","14","14","10","12","16","14"
"6","6","7","7","8","8","8","8","8","8","10","9","14","13","14","14","9","11","16","14"
"5","6","6","7","8","8","8","8","8","7","9","8","13","13","14","14","9","11","16","14"
"5","6","6","7","8","7","8","7","8","7","9","8","13","13","13","13","9","11","15","13"
"5","6","6","7","8","7","8","7","8","7","9","8","13","12","13","13","9","10","15","13"
"5","6","6","6","8","7","8","7","7","7","9","8","13","12","13","13","8","10","15","13"
"5","6","6","6","7","7","8","7","7","6","8","7","13","12","13","13","8","10","14","12"
"5","6","6","6","7","7","7","7","7","6","8","7","12","12","12","12","8","9","14","12"
"5","6","6","6","7","7","7","7","7","6","8","7","12","11","12","12","7","9","14","12"
"5","6","6","6","7","7","7","6","7","6","8","7","12","11","12","12","7","9","14","11"
"5","5","5","6","7","6","7","6","7","6","7","6","12","11","12","11","7","9","13","11"
"5","5","5","5","7","6","7","6","6","5","7","6","12","11","11","11","7","8","13","11"
"5","5","5","5","7","6","6","6","6","5","7","6","11","11","11","11","6","8","13","10"
"5","5","5","5","6","6","6","6","6","5","7","6","11","10","11","10","6","8","12","10"
"4","5","5","5","6","6","6","5","6","5","6","6","11","10","11","10","6","7","12","10"
"4","5","5","5","6","6","6","5","6","5","6","5","11","10","10","10","5","7","12","9"
"4","5","5","5","6","6","6","5","6","4","6","5","11","10","10","9","5","7","12","9"
"4","5","5","5","6","5","6","5","5","4","6","5","10","10","10","9","5","6","11","9"
"4","5","4","4","6","5","5","5","5","4","6","4","10","9","9","9","5","6","11","8"
"4","4","4","4","5","5","5","4","5","4","5","4","10","9","9","8","4","0","10","0"
"4","4","4","4","5","5","5","4","5","4","5","4","10","9","9","8","4","0","10","0"
"4","4","4","4","5","5","5","4","5","4","5","4","10","9","9","8","4","0","10","0"
"4","4","4","4","5","5","4","4","4","3","4","3","9","8","8","7","3","0","10","0"
"4","4","4","4","5","5","4","4","4","3","4","3","9","8","8","7","3","0","10","0"
"4","4","4","4","5","5","4","4","4","3","4","3","9","8","8","7","3","0","10","0"
"3","4","3","3","5","4","4","3","4","2","4","2","8","8","7","6","0","0","9","0"
"3","4","3","3","5","4","4","3","4","2","4","2","8","8","7","6","0","0","9","0"
"3","4","3","3","5","4","4","3","4","2","4","2","8","8","7","6","0","0","9","0"
"3","3","3","3","4","3","3","2","3","0","3","0","8","7","6","5","0","0","0","0"
"3","3","3","3","4","3","3","2","3","0","3","0","8","7","6","5","0","0","0","0"
"3","3","3","3","4","3","3","2","3","0","3","0","8","7","6","5","0","0","0","0"
"3","3","3","3","4","3","3","2","3","0","3","0","8","7","6","5","0","0","0","0"
"3","3","3","3","4","3","3","2","3","0","3","0","8","7","6","5","0","0","0","0"
"3","3","3","3","4","3","3","2","3","0","3","0","8","7","6","5","0","0","0","0"
"3","3","3","3","4","3","3","2","3","0","3","0","8","7","6","5","0","0","0","0"
"3","3","3","3","4","3","3","2","3","0","3","0","8","7","6","5","0","0","0","0"
"3","3","3","3","4","3","3","2","3","0","3","0","8","7","6","5","0","0","0","0"
"2","3","2","2","3","2","2","1","2","0","0","0","6","5","4","0","0","0","0","0"
"2","3","2","2","3","2","2","1","2","0","0","0","6","5","4","0","0","0","0","0"
"2","3","2","2","3","2","2","1","2","0","0","0","6","5","4","0","0","0","0","0"
"2","3","2","2","3","2","2","1","2","0","0","0","6","5","4","0","0","0","0","0"
"2","2","1","1","2","2","1","0","0","0","0","0","5","4","0","0","0","0","0","0"
"2","2","1","1","2","2","1","0","0","0","0","0","5","4","0","0","0","0","0","0"
"2","2","1","1","2","2","1","0","0","0","0","0","5","4","0","0","0","0","0","0"
"2","2","1","1","2","2","1","0","0","0","0","0","5","4","0","0","0","0","0","0"
"2","2","1","1","2","2","1","0","0","0","0","0","5","4","0","0","0","0","0","0"
"2","1","1","0","2","1","0","0","0","0","0","0","4","0","0","0","0","0","0","0"
"2","1","1","0","2","1","0","0","0","0","0","0","4","0","0","0","0","0","0","0"
"2","1","1","0","2","1","0","0","0","0","0","0","4","0","0","0","0","0","0","0"
"2","1","1","0","2","1","0","0","0","0","0","0","4","0","0","0","0","0","0","0"
"1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
