"10E,""13E"",""15E"",""18E"",""16E"",""17E"",""20E"",""22E"",""13E"",""25E"",""17E"",""19E"",""17E"",""19E"",""22E"",""24E"",""20E"",""22E"",""24E"",""25E"""
"9E,""12E"",""14E"",""17E"",""15E"",""16E"",""19E"",""21E"",""12E"",""14E"",""16E"",""18E"",""16E"",""18E"",""21E"",""23E"",""19E"",""21E"",""23E"",""24E"""
"9D,""12E"",""14E"",""16E"",""15E"",""16E"",""18E"",""20E"",""12E"",""14E"",""16E"",""17E"",""16E"",""17E"",""20E"",""22E"",""18E"",""20E"",""22E"",""23E"""
"8D,""11D"",""13D"",""16E"",""14E"",""15E"",""18E"",""20E"",""11D"",""13D"",""15E"",""17E"",""15E"",""17E"",""20E"",""22E"",""18E"",""20E"",""22E"",""23E"""
"8C,""11D"",""13D"",""15D"",""14D"",""15D"",""17D"",""19D"",""11D"",""13D"",""15D"",""16D"",""15E"",""16E"",""19E"",""21E"",""17D"",""19E"",""21E"",""22E"""
"8C,""10D"",""12D"",""15D"",""13D"",""14D"",""17D"",""18D"",""10D"",""12D"",""14D"",""16D"",""14D"",""16D"",""18E"",""20D"",""17D"",""18D"",""20D"",""21D"""
"7B,""10C"",""12C"",""14D"",""13D"",""14D"",""16D"",""18D"",""10C"",""12C"",""14D"",""15D"",""14D"",""15D"",""18D"",""20D"",""16D"",""18D"",""20D"",""21D"""
"7B,""9C"",""11C"",""14D"",""12D"",""13D"",""15D"",""17D"",""9C"",""11C"",""13D"",""15D"",""13D"",""15D"",""17D"",""19D"",""15D"",""17D"",""19D"",""20D"""
"6A,""9C"",""11C"",""13C"",""12C"",""13C"",""15C"",""17C"",""9C"",""11C"",""13C"",""14C"",""13D"",""14D"",""17D"",""18D"",""15C"",""17D"",""18D"",""19D"""
"6A,""9B"",""10B"",""13C"",""11C"",""12C"",""14C"",""16C"",""8B"",""10B"",""12C"",""14C"",""12D"",""14D"",""16D"",""18C"",""14C"",""16D"",""18D"",""19D"""
"6A,""8B"",""10B"",""12C"",""11C"",""12C"",""14C"",""15C"",""8B"",""10B"",""12C"",""13C"",""12C"",""13C"",""15C"",""17C"",""14C"",""15C"",""17C"",""18C"""
"5A,""8B"",""10B"",""12C"",""10C"",""11C"",""13C"",""15C"",""7B"",""9B"",""11C"",""13C"",""11C"",""13C"",""15C"",""16C"",""13C"",""15C"",""16C"",""17C"""
"5A,""7A"",""9A"",""11B"",""10B"",""11B"",""13B"",""14B"",""7A"",""9A"",""11B"",""12B"",""11C"",""12C"",""14C"",""16C"",""13B"",""14C"",""16C"",""17C"""
"4A,""7A"",""9A"",""11B"",""9B"",""10B"",""12B"",""13B"",""7A"",""9A"",""10B"",""11B"",""10C"",""11C"",""13C"",""15C"",""12B"",""13C"",""15C"",""16C"""
"4A,""6A"",""8A"",""10B"",""9B"",""10B"",""11B"",""13B"",""6A"",""8A"",""10B"",""11B"",""10C"",""11C"",""13C"",""14C"",""11B"",""13C"",""15C"",""15C"""
"4A,""6A"",""8A"",""10B"",""8B"",""9B"",""11B"",""12B"",""6A"",""7A"",""9B"",""10B"",""9B"",""10B"",""12C"",""14B"",""11B"",""12B"",""14B"",""15B"""
"3,""5A"",""7A"",""9A"",""8A"",""9A"",""10A"",""12A"",""5A"",""7A"",""9A"",""10A"",""9B"",""10B"",""12C"",""13B"",""10A"",""12B"",""13B"",""14B"""
"3,""5A"",""7A"",""8A"",""7A"",""8A"",""10A"",""11A"",""5A"",""6A"",""8A"",""9A"",""8B"",""9B"",""11C"",""12B"",""10A"",""11B"",""13B"",""13B"""
"2,""5A"",""6A"",""8A"",""7A"",""8A"",""9A"",""10A"",""4"",""6A"",""8A"",""9A"",""8B"",""9B"",""10B"",""12B"",""9A"",""10B"",""12B"",""13B"""
"2,""4"",""6A"",""7A"",""6A"",""7A"",""9A"",""10A"",""4"",""5A"",""7A"",""8A"",""7B"",""8B"",""10B"",""11B"",""9A"",""10B"",""AAB"",""12B"""
"2,""4"",""5A"",""7A"",""6A"",""7A"",""8A"",""9A"",""3"",""5A"",""7A"",""8A"",""7A"",""8A"",""9B"",""10A"",""8A"",""9A"",""11A"",""11A"""
"1,""3"",""5"",""6A"",""5A"",""6A"",""7A"",""9A"",""3"",""4"",""6A"",""7A"",""6A"",""7A"",""9B"",""10A"",""7A"",""9A"",""10A"",""11A"""
"1,""3"",""5"",""6A"",""5A"",""6A"",""7A"",""8A"",""2"",""4"",""6A"",""7A"",""6A"",""7A"",""8B"",""9A"",""7A"",""8A"",""9A"",""10A"""
"1,""2"",""4"",""5"",""4"",""5A"",""6A"",""7A"",""2"",""3"",""5A"",""6A"",""5A"",""6A"",""7B"",""8A"",""6A"",""6A"",""9A"",""9A"""
"0,""2"",""4"",""5"",""4"",""5"",""6A"",""7A"",""1"",""3"",""5"",""5A"",""5A"",""5A"",""7A"",""8A"",""6A"",""7A"",""8A"",""9A"""
"0,""1"",""3"",""4"",""3"",""4"",""5"",""6A"",""1"",""2"",""4"",""5A"",""4A"",""5A"",""6A"",""7A"",""5A"",""6A"",""8A"",""8A"""
"0,""1"",""3"",""4"",""3"",""4"",""5"",""5A"",""1"",""2"",""4"",""4"",""4A"",""4A"",""5A"",""6A"",""5A"",""5A"",""7A"",""7A"""
"0,""1"",""2"",""3"",""2"",""3"",""4"",""5"",""0"",""1"",""3"",""4"",""3A"",""4A"",""5A"",""6A"",""4"",""5A"",""6A"",""7A"""
"0,""0"",""2"",""3"",""2"",""3"",""3"",""4"",""0"",""1"",""3"",""3"",""3"",""3A"",""4A"",""5A"",""3"",""4A"",""6A"",""6A"""
"0,""0"",""1"",""2"",""1"",""2"",""3"",""4"",""0"",""1"",""2"",""3"",""2"",""3"",""4A"",""4A"",""3"",""4"",""5A"",""5A"""
"0,""0"",""1"",""2"",""1"",""2"",""2"",""3"",""0"",""0"",""2"",""2"",""2"",""2"",""3A"",""4A"",""2"",""3"",""4A"",""5A"""
"0,""0"",""1"",""1"",""1"",""1"",""2"",""2"",""0"",""0"",""1"",""2"",""1"",""2"",""2A"",""3"",""2"",""2"",""4"",""4A"""
"0,""0"",""0"",""1"",""0"",""1"",""1"",""2"",""0"",""0"",""1"",""1"",""1"",""1"",""2A"",""2"",""1"",""2"",""3"",""3"""
"0,""0"",""0"",""0"",""0"",""1"",""1"",""1"",""0"",""0"",""0"",""1"",""0"",""1"",""1A"",""2"",""1"",""1"",""2"",""3"""
"0,""0"",""0"",""0"",""0"",""0"",""0"",""1"",""0"",""0"",""0"",""0"",""0"",""0"",""1"",""1"",""0"",""1"",""2"",""2"""
"0,""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""1"",""0"",""0"",""1"",""1"""
"0,""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""1"",""1"""
"0,""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"0,""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"0,""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"0,""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"0,""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
