"8DP","10EP","12EP","14EP","20EP","20EP","23EP","23EP","20EP","22EP","26EP","26EP","20EP","20EP","25EP","28EP","22EP","25EP","28EP","30EP"
"8CP","10DP","12EP","14EP","20EP","20EP","23EP","23EP","20EP","22EP","26EP","26EP","20EP","20EP","25EP","28EP","22EP","25EP","28EP","30EP"
"8CP","10CP","12DP","14EP","20EP","20EP","23EP","23EP","20EP","22EP","26ÈP","26EP","20EP","20EP","25EP","28EP","22EP","25EP","28EP","30EP"
"8CP","10CP","12DP","14EP","20DP","20DP","23EP","23EP","20EP","22EP","26EP","26EP","20EP","20EP","25EP","28EP","22EP","25EP","28EP","30EP"
"8CP","10CP","12DP","14EP","20DP","20DP","23DP","23EP","20EP","21EP","25EP","25EP","20EP","20EP","25EP","27EP","21EP","24EP","27EP","29EP"
"8CP","10CP","12CP","14DP","20DP","20DP","22DP","22EP","19EP","21EP","25EP","25EP","20EP","20EP","24EP","27EP","21 EP","24EP","27EP","29EP"
"8BP","10CP","12CP","14DP","19DP","19DP","22DP","22EP","19DP","21EP","25EP","25EP","19EP","19EP","24EP","27EP","21 EP","24EP","27EP","28EP"
"8BP","10BP","12CP","13DP","19DP","19DP","22DP","22EP","19DP","21EP","24EP","24EP","19EP","19EP","24EP","26EP","21EP","24EP","27EP","28EP"
"8BP","10BP","12CP","13DP","19DP","19DP","22DP","22DP","19DP","20DP","24EP","24EP","19EP","19EP","24EP","26EP","20EP","23EP","26EP","28EP"
"8BP","10BP",". 11CP","13DP","19CP","19DP","21DP","21DP","19DP","20DP","24DP","24EP","19DP","19EP","23EP","26EP","20EP","23EP","26EP","28EP"
"8BP","10BP","11CP","13DP","19CP","19CP","21 DP","21 DP","18DP","20DP","24DP","23EP","19DP","19EP","23EP","26EP","20EP","23EP","26EP","27EP"
"8BP","10BP","11CP","13DP","18CP","18CP","21CP","21 DP","18DP","20DP","23DP","23EP","19DP","19DP","23EP","25EP","20EP","22EP","26EP","27EP"
"8AP","9BP","11BP","13CP","18CP","18CP","21CP","21DP","18DP","19DP","23DP","23EP","18DP","18DP","23EP","25EP","19EP","22EP","25EP","27EP"
"8AP","9BP","11BP","13CP","18CP","18CP","20CP","20DP","18CP","19DP","23DP","22DP","18DP","18DP","22DP","25EP","19EP","22EP","25EP","26EP"
"8AP","9AP","11BP","12CP","18CP","18CP","20CP","20DP","18CP","19DP","22DP","22DP","18DP","18DP","22DP","24EP","19DP","22EP","25EP","26EP"
"8AP","9AP","11BP","12CP","18CP","18CP","20CP","20DP","17CP","19DP","22DP","22DP","18DP","18DP","22DP","24DP","19DP","21 EP","25EP","26EP"
"7AP","9AP","11BP","12CP","18CP","17CP","20CP","20DP","17CP","18DP","22DP","22DP","18DP","18DP","22DP","24DP","18DP","21EP","24EP","25EP"
"7AP","9AP","11BP","12CP","17CP","17CP","20CP","19DP","17CP","18CP","22DP","21DP","18DP","17DP","21 DP","23DP","18DP","21DP","24EP","25EP"
"7AP","9AP","10BP","12CP","17BP","17CP","19CP","19DP","17CP","18CP","21 DP","21DP","17CP","17DP","21 DP","23DP","18DP","20DP","24EP","25ÈP"
"7AS","9AP","10BP","12CP","17BP","17CP","19CP","19CP","17CP","18CP","21 DP","21 DP","17CP","17DP","21 DP","23DP","17DP","20DP","24EP","24EP"
"7AP","9AP","10BP","12CP","17BP","17BP","19CP","19CP","16CP","17CP","21 DP","20DP","17CP","17DP","21 DP","23DP","17DP","20DP","23EP","24EP"
"7AK","9AP","10AP","11BP","17BP","17BP","19CP","18CP","16CP","17CP","20CP","20DP","17CP","17DP","20DP","22DP","17DP","20DP","23EP","24EP"
"7","9AP","10AP","11BP","16BP","16BP","18CP","18CP","16CP","17CP","20CP","20DP","17CP","17DP","20DP","22DP","17DP","19DP","23EP","23EP"
"7","8AP","10AP","11BP","16BP","16BP","18CP","18CP","16CP","17CP","20CP","19DP","17CP","16DP","20DP","22DP","16DP","19DP","23EP","23DP"
"7","8ÀS","10AP","11BP","16BP","16BP","18CP","18CP","15CP","16CP","20CP","19DP","16CP","16DP","20DP","21 DP","16DP","19DP","22EP","23DP"
"7","8AP","10AP","11BP","16BP","16BP","18CP","17CP","15CP","16CP","19CP","19DP","16CP","16CP","19DP","21DP","16DP","18DP","22DP","22DP"
"7","8AK","9AP","11BP","16BP","15BP","17BP","17CP","15CP","16CP","19CP","18DP","16CP","16CP","19DP","21 DP","16CS","18DP","22DP","22DP"
"7","8","9AP","11BP","16BP","15BP","17BP","17CP","15BP","15CP","19CP","18DP","16CP","16CP","19CP","20DP","15CP","18DP","21DP","22DP"
"7","8","9AP","10BP","15AP","15BP","17BP","17CP","15BP","15CP","18CP","18CP","16CP","15CP","19CP","20DP","15CS","18DS","21 DP","21 DP"
"7","8","9AP","10BP","15AP","15BP","17BP","16CP","14BP","15CP","18CP","18CP","16CP","15CP","18CP","20DP","15CP","17DP","21DP","21DP"
"7","8","9AP","10BP","15AP","15BP","17BP","16CP","14BP","15CP","18CP","17CP","15CP","15CP","18CP","20DP","15CS","17CS","21DP","21DP"
"6","8","9AP","10AP","15AP","15BP","16BP","16CP","14BP","14CP","17CP","17CP","15CP","15CP","18CP","19CP","14CP","17CP","20DP","20DS"
"6","8","9AP","10AP","15AP","14AP","16BP","16CP","14BP","14BP","17CP","17CP","15CP","15CP","18CP","19CP","14CS","16CS","20DP","20DP"
"6","8","9AP","10AP","14AP","14AP","16BP","15BP","14BP","14BP","17CP","16CP","15BP","15CP","17CP","19CP","14CP","16CP","20DP","20DS"
"6","7","9AS","10AP","14AP","14AP","16BP","15BP","13BP","14BP","17CP","16CP","15BP","14CP","17CP","18CP","14CS","16CS","20DP","19DP"
"6","7","8AP","9AP","14AS","14AP","15BP","15BP","13BP","13BP","16CP","16CP","14BP","14CP","17CP","18CP","13CP","16CP","19DP","19DS"
"6","7","8AK","9AP","14AP","14AP","15BP","15BP","13BP","13BP","16CP","15CP","14BS","14CP","17CP","18CP","13CS","15CS","19DS","19DP"
"6","7","8","9AP","14AS","13AP","15BP","14BP","13BP","13BP","16CP","15CP","14BP","14CP","16CP","17CP","13CP","15CP","19DP","19DS"
"6","7","8","9AP","14AP","13AP","15AP","14BP","13BP","13BP","15CP","15CP","14BS","14CP","16CP","17CP","12BS","15CS","19DS","18DP"
"6","7","8","9AP","13AS","13AP","14AP","14BP","12BS","12BP","15BP","14CP","14BP","13CS","16CP","17CP","12BP","15CP","18DP","18CS"
"6","7","8","9AP","13AP","13AS","14AP","14BP","12BP","12BP","15BP","14CP","14BS","13CP","16CP","17CP","12BS","14BS","18DS","18CP"
"6","7","8","9AP","13AS","13AP","14AP","13BP","12AS","12BP","15BP","14CP","13BP","13BS","15BP","16CP","12BP","14BP","18DP","17CS"
"6","7","8","8AS","13AP","12AS","14AP","13BP","12AP","12BS","14BP","14CP","13BS","13BP","15BS","16CP","11 BS","14BS","18CS","17CP"
"6","7","7","8AP","13AK","12AP","14AS","13BP","12AS","11BP","14BP","13CP","13BP","13BS","15BP","16BP","11 BP","13BP","17CP","17CS"
"6","7","7","8AS","12","12AS","13AP","13BP","11 AP","11BS","14BP","13CP","13BS","13BP","15BS","15BP","11 BS","13BS","17CS","16CP"
"6","7","7","8AP","12","12AP","13AS","12BP","11AS","11 BP","13BP","13CP","13BP","12BS","14BP","15BS","11AP","13BP","17CP","16CS"
"6","6","7","8AK","12","12AS","13AP","12BP","11AP","11BS","13BP","12CP","13BS","12BP","14BS","15BP","10AS","13BS","17CS","16CP"
"5","6","7","8","12","11AP","13AS","12AP","11AS","10AP","13BS","12BP","12AP","12BS","14BP","15BS","10AP","12BP","16CP","15CS"
"5","6","7","8","12","11AK","12AP","12AP","10AP","10AS","13BP","12BP","12 AS","12BP","14BS","14BP","10AS","12 AS","16CS","15BP"
"5","6","7","7","12","11","12 AS","12AP","10AS","10AP","12BS","11 BP","12AP","12BS","13BP","14BS","10AP","12AP","16CP","15BS"
"5","6","7","7","11","11","12AP","11AP","10AP","10AS","12BP","11BP","12AS","11 BP","13BS","14BP","9AK","11 AS","16CS","14BP"
"5","6","7","7","11","11","12AS","11 AS","10AS","9AP","12BS","11BP","12AP","11BS","13BP","13BS","9AS","11 AP","15CP","14BS"
"5","6","6","7","11","10","11AP","11AP","10AP","9AS","11BP","10BP","12AS","11 BP","13BS","13BP","9","11 AS","15CS","14BP"
"5","6","6","7","11","10","11AK","11 AS","9AS","9AP","11BS","10BS","11AP","11BS","12BP","13BS","9","11 AP","15CP","13BS"
"5","6","6","7","11","10","11","10AP","9AP","8AS","11AP","10BP","11 AS","11 AP","12BS","12BP","8","10AS","14BS","13BP"
"5","6","6","7","10","10","11","10AS","9AK","8AP","11AS","10BS","11AP","11 AS","12BP","12BS","8","10AP","14BP","13AS"
"5","6","6","6","10","10","10","10AP","9","8AS","10AP","9BP","11 AS","10AP","12AS","12BP","8","10AK","14BS","12AP"
"5","5","6","6","10","10","10","10AS","9","8AP","10AS","9BS","11AP","10AS","11AP","12BS","7","9","14BP","12AS"
"5","5","6","6","10","9","10","9AP","8","7AS","10AP","9BP","11 AS","10AP","11 AS","11 BP","7","9","13BS","12AP"
"5","5","6","6","10","9","10","9AS","8","7AP","9AS","8BS","10AS","10AS","11AP","11AS","7","9","13BP","11 AS"
"5","5","6","6","9","9","10","9AP","8","7AK","9AP","8BP","10","10AP","11 AS","11AP","7","9","13BS","11 AP"
"5","5","5","6","9","9","9","9AS","8","7","9AS","8BS","10","9AS","10AP","10AS","6","8","13BP","11AK"
"4","5","5","6","9","9",9,"8AP","8","6","8AP","7BP","10","9AP","10AS","10AP","6","8","12BS","10"
"4","5","5","5","9","8","9","8AK","7","6","8AS","7BS","10","9AS","10AP","10AS","6","8","12BP","10"
"4","5","5","5","9","8","9","8","7","6","8AP","7AP","10","9AP","10AS","9AP","6","7","12AS","10"
"4","5","5","5","9","8","8","8","7","6","8AK","6AS","9","9","9AP","9AS","5","7","12AP","9"
"4","5","5","5","8","8","8","7","7","5","7","6AP","9","9","9AS","9AP","5","7","11 AS","9"
"4","5","5","5","8","8","8","7","7","5","7","6AS","9","8","9AP","9AS","5","7","11AP","9"
"4","4","5","5","8","7","8","7","6","5","7","6AP","9","8","9AS","8AP","5","6","11 AS","8"
"4","4","4","5","8","7","7","7","6","5","6","5A","9","8","8AP","8AS","4","6","11AP","8"
"4","4","4","4","8","7","7","6","6","4","6","5AP","8","8","8","8AP","4","6","10AK","8"
"4","4","4","4","7","7","7","6","6","4","6","5AS","8","8","8","7AS","4",0,"10AK",0
"4","4","4","4","7","7","7","6","5","4","6","4AP","8","7","8","7AP","4",0,"10",0
"4","4","4","4","7","6","7","6","5","4","5","4AS","8","7","7","7AS","3",0,"10",0
"4","4","4","4","7","6","6","5","5","3","5","4AP","8","7","7","6AP","3",0,"9",0
"4","4","4","4","7","6","6","5","5","3","5","3AK","8","7","7","6","3",0,"9",0
"4","4","4","4","7","6","6","5","5","3","4","3","7","7","7","6",0,0,"9",0
"3","4","4","3","6","6","6","5","4","3","4","3","7","7","6","6",0,0,"9",0
"3","4","3","3","6","5","5","4","4","2","4","2","7","6","6","5",0,0,"8",0
"3","4","3","3","6","5","5","4","4","2","4","2","7","6","6","5",0,0,"8",0
"3","3","3","3","6","5","5","4","4","2","3","2","7","6","6","5",0,0,"8",0
"3","3","3","3","6","5","5","4","4",0,"3",0,"7","6","5","4",0,0,0,0
"3","3","3","3","5","5","4","3","3",0,"3",0,"6","6","5","4",0,0,0,0
"3","3","3","3","5","5","3","3","2",0,"2",0,"6","5","5","4",0,0,0,0
"3","3","3","2","5","4","4","3","3",0,"2",0,"6","5","5",0,0,0,0,0
"3","3","3","2","5","4","4","3","3",0,"2",0,"6","5","4",0,0,0,0,0
"3","3","2","2","5","4","4","2","3",0,0,0,"6","5","4",0,0,0,0,0
"3","3","2","2","5","4","3","2","2",0,0,0,"6","5","4",0,0,0,0,0
"3","3","2","2","4","4","3","2","2",0,0,0,"5","5","4",0,0,0,0,0
"3","3","2","2","4","3","3","2","2",0,0,0,"5","4",0,0,0,0,0,0
"3","3","2","2","4","3","3","1","2",0,0,0,"5","4",0,0,0,0,0,0
"3","2","2","1","4","3","2","1",0,0,0,0,"5","4",0,0,0,0,0,0
"3","2","2","1","4","3","2","1",0,0,0,0,"5","4",0,0,0,0,0,0
"2","2","2","1","3","3","2","1",0,0,0,0,"5","4",0,0,0,0,0,0
"2","2","2","1","3","2","2",0,0,0,0,0,"4",0,0,0,0,0,0,0
"2","2","1","1","3","2","1",0,0,0,0,0,"4",0,0,0,0,0,0,0
"2","2","1","1","3","2","1",0,0,0,0,0,"4",0,0,0,0,0,0,0
"2","2","1","1","3","2","1",0,0,0,0,0,"4",0,0,0,0,0,0,0
"2","2","1","1","3","2","1",0,0,0,0,0,"4",0,0,0,0,0,0,0
"2","2","1",0,"2","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","2","1",0,"2","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","2","1",0,"2","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","2","1",0,"2","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","1",0,0,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","1",0,0,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","1",0,0,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
