"Nada.","Nada.","+1 punto de daño.","+2 puntos de daño.","+3 puntos de daño."
"+1 puntos de daño.","+2 puntos de daño.","+3 puntos de daño.","+4 puntos de daño.","Ataque de refilón. Ganas la iniciativa en el siguiente asalto. +5 puntos de daño."
"Ataque de refilón. No causas daños adicionales pero ganas la iniciativa en el siguiente asalto.","Golpe casual. Ganas la iniciativa en el siguiente asalto. +2 puntos de daño.","Golpe en un costado. Ganas la iniciativa en el siguiente asalto. +4 puntos de daño.","Golpe de refilón. Ganas la iniciativa en el siguiente asalto. +6 puntos de daño.","Ataque algo débil, pero obligas al adversario a parar durante el siguiente asalto. +6 puntos de daño."
"El adversario se libera, pero ganas la iniciativa en el siguiente asalto. +3 puntos de daño.","El adversario esquiva todos los ataques, pero le obligas a parar durante el siguiente asalto. +2 puntos de daño.","El adversario se recupera, pero está obligado a parar durante 1 asalto. +4 puntos de daño.","El golpe en el costado desequilibra al adversario. Ganas la iniciativa en los 2 asaltos siguientes. +5 puntos de daño.","Fuerte golpe casual. El adversario está aturdido durante 1 asalto. +3 puntos de daño."
"Golpe en la cadera. Ganas la iniciativa en el siguiente asalto. +5 puntos de daño.","Ataque bien colocado. El adversario deberá parar con un -20 durante el siguiente asalto.","Ataque de refilón. El adversario está aturdido durante 1 asalto. +2 puntos de daño.","Golpe fuerte pero desviado. El adversario esquiva la presa pero está aturdido durante 1 asalto. +3 puntos de daño.","Ataque mal coordinado que permite al adversario esquivar la presa. El adversario está aturdido durante 1 asalto. Ganas la iniciativa en los 2 asaltos siguientes."
"Golpe en la parte baja de la espalda. El adversario deberá parar durante el siguiente asalto.","Adversario desequilibrado. +4 puntos de daño y deberá parar durante el siguiente asalto. Ganas la iniciativa en los 2 asaltos siguientes.","Ataque inmovilizador. El adversario está aturdido durante 1 asalto, en el que además está obligado a parar.","Golpe en el brazo del escudo. Si el adversario lleva escudo, +3 puntos de daño. De lo contrario, el brazo está inmovilizado durante 6 asaltos y el adversario está aturdido durante 3.","Ataque dirigido a la parte superior de la pierna. El adversario gira y evita la presa, pero está aturdido y sin poder parar durante 1 asalto."
"Golpe casual en la cadera. El adversario deberá parar con un -20 durante el siguiente asalto. +3 puntos de daño.","Golpe en el pecho que aturde al adversario durante 1 asalto. +5 puntos de daño.","Tu ataque te permite atrapar la cintura del adversario. Lucha con un -25 durante 3 asaltos.","El ataque te permite agarrar débilmente el pecho del adversario. Lucha con un -30 durante 3 asaltos. Ganas la iniciativa en los 4 asaltos siguientes.","El ataque te permite atrapar la pierna del adversario; éste consigue liberarse, pero está aturdido durante 2 asaltos y no puede parar durante uno."
"Golpe en el pecho que desequilibra ligeramente al adversario; éste deberá parar durante el siguiente asalto. Ganas la iniciativa en los 2 siguientes asaltos.","Golpe en la espalda que aturde al adversario durante 1 asalto. +7 puntos de daño.","El ataque te permite agarrar durante un instante la pierna del adversario; éste está aturdido y sin poder parar durante 1 asalto.","El ataque te permite agarrar durante unos instantes la cintura del adversario. Luchará con un -50 durante 3 asaltos.","El adversario se libera de la presa que conseguiste hacerle en el brazo del escudo. Está aturdido durante 2 asaltos y sin poder parar durante 1. +5 puntos de daño."
"Golpe de refilón en la espalda. El adversario deberá parar con un -25 durante el siguiente asalto. Ganas la iniciativa en los 2 siguientes asaltos.","Golpe que le hace perder el equilibrio. El adversario se libera, pero está aturdido durante 1 asalto, en el que está obligado a parar.","El adversario se libera de la presa en la cintura, pero está aturdido y sin poder parar durante 1 asalto. +3 puntos de daño.","El ataque consigue una presa en la pierna. La presa resbala, pero el adversario está aturdido durante 3 asaltos. +6 puntos de daño.","Presa alrededor de la pierna del adversario. Está aturdido y sin poder parar durante 1 asalto, y lucha con un -25 durante los tres siguientes asaltos."
"Golpe en el hombro. El adversario está aturdido durante 1 asalto. +3 puntos de daño.","Momentánea presa en la cintura del adversario, que le aturde durante 2 asaltos.","Presa en el pecho del adversario. Lucha con un -50 durante 3 asaltos. +3 puntos de daño.","Presa en el pecho del adversario. Está aturdido y sin poder parar durante 1 asalto, y lucha con un -20 durante 2 asaltos.","Ataque en el brazo del escudo. Si el adversario lleva escudo, +6 puntos de daño. De lo contrario, está aturdido y sin poder parar durante 3 asaltos, y +7 puntos de daño."
"Presa en el brazo del arma, que desarma al adversario. +2 puntos de daño. El adversario está aturdido durante 2 asaltos.","Presa en el brazo del arma, que desarma al adversario y le tuerce la muñeca. Está aturdido durante 2 asaltos y lucha con un -25.","Presa en las dos piernas del adversario. Este se libera de la presa, pero cae al suelo y está postrado durante 1 asalto. +5 puntos de daño.","Presa en una pierna que tira al adversario al suelo. Presa fuerte. El adversario está postrado y sin poder moverse durante 2 asaltos. +6 puntos de daño.","Presa en el cuello, que tira al adversario al suelo. Le has desgarrado algunos músculos del cuello; el adversario lucha con un -20. Está postrado y sin poder moverse durante 3 asaltos."
"Golpe en el pecho. El adversario esquiva la presa, pero deberá parar con un -20 durante 2 asaltos.","Presa en una pierna. +4 puntos de daño. El adversario está aturdido y sin poder parar durante 1 asalto.","Presa en el brazo del escudo. Si el adversario lleva escudo, lucha con un -50 hasta que deje caer el escudo al suelo. De no tener escudo, lucha con un -50.","Presa en la pierna. El adversario está aturdido durante 2 asaltos y no puede parar durante 1. +7 puntos de daño.","Presa en el brazo del arma. El adversario está aturdido y sin poder parar durante 2 asaltos, y durante el asalto siguiente luchará con un -75."
"El ataque consigue una presa inestable en la cintura del adversario. Lucha con un -50 durante 2 asaltos. +5 puntos de daño.","El ataque consigue una presa inestable en la parte baja del pecho del adversario. Lucha con un -50 durante 3 asaltos. +4 puntos de daño.","El ataque consigue una presa débil en la cintura del adversario. Está aturdido durante 2 asaltos y lucha con un -50 durante los 3 asaltos siguientes.","Consigues una presa débil en la cintura del adversario. Está aturdido y sin poder parar durante 1 asalto, y lucha con un -70 durante 3 asaltos.","Presa en la pierna. El adversario cae al suelo, y está aturdido y sin poder parar durante 2 asaltos. +9 puntos de daño."
"Presa inestable en la cintura del adversario. Durante los siguientes 3 asaltos el adversario lucha con un -50 y tú ganas la iniciativa.","Presa en el brazo del escudo. Si el adversario lleva escudo, lucha con un -30 hasta que lo deje caer al suelo. Si no lleva, lucha con un -40.","Presa en el brazo del arma. El adversario está aturdido y sin poder parar durante 2 asaltos, y lucha con un -50 durante 1.","Presa en el brazo del arma. El adversario aún lleva el arma, pero el brazo está inmovilizado. +3 puntos de daño.","Presa en el brazo del arma. Desarmas al adversario, que está aturdido y sin poder parar durante 3 asaltos. La rotura de ligamentos y la contractura muscular hacen que luche con un -40."
"Presa en la pierna. El adversario se libera, pero está aturdido durante 2 asaltos. +3 puntos de daño. Ganas la iniciativa en los 6 asaltos siguientes.","Presa inestable en la cintura. Durante los 6 asaltos siguientes el adversario lucha con un -50 y tú ganas la iniciativa.","Presa en el pecho, que rompe una costilla y hace que el adversario esté aturdido y sin poder parar durante 3 asaltos. Lucha con un -5.","Presa en una pierna. El adversario cae al suelo, está desarmado, y además aturdido y sin poder parar durante 2 asaltos. Al caer se rompe el brazo del escudo.","Presa en los dos brazos, que quedan inmovilizados junto al pecho. El adversario no puede mover los brazos y se actúa con un -75."
"Ataque en el brazo del escudo. Si el adversario lleva escudo, deberá parar durante el siguiente asalto. De no llevarlo, está inmovilizado y lucha con un -50.","Presa en la pierna. El adversario cae al suelo y está aturdido y sin poder parar durante 2 asaltos. Una con-tractura muscular hace que luche con un -10.","Presa en el pie. El adversario da un traspiés, se cae y se rompe un hombro. +8 puntos de daño. Está aturdido durante 6 asaltos y lucha con un -30.","Presa en los dos brazos del adversario, que están inmovilizados. El adversario está aturdido durante 9 asaltos y no puede luchar. +6 puntos de daño.","Presa en el pie. El adversario da un traspiés, se cae al suelo, parte su arma en dos y está aturdido durante 2 asaltos. Si no lleva armadura en el pecho, haz una tirada de acierto crítico ""D"" de aplastamiento."
"Presa en la pierna. El adversario cae al suelo. Aturdido y sin poder parar durante 2 asaltos. +3 puntos de daño.","Presa en ambas piernas. El adversario lucha con un -25, se cae al suelo, está desarmado y además aturdido y sin poder parar durante 2 asaltos.","Inmovilizas los dos brazos contra el pecho del adversario. Está aturdido y sin poder parar durante 4 asaltos, y posteriormente luchará con un -95.","Presa en las piernas del adversario, que están inmovilizadas por completo. El adversario cae al suelo y está aturdido y sin poder parar durante 30 asaltos. +10 puntos de daño.","Presa en las dos piernas. El adversario cae al suelo y pierde la consciencia. Lucha con un -95 debido a 2 costillas y un tobillo rotos. +20 puntos de daño."
"Consigues atar al adversario. Está totalmente inmovilizado durante 12 asaltos y lucha con un -60 durante los 3 siguientes. +7 puntos de daño.","El ataque ata e inmoviliza por completo al adversario. Una pierna rota le hace luchar con un -40. Está postrado pero no inconsciente.","Atas e inmovilizas por completo las piernas del adversario. Cae al suelo, está desarmado, se rompe el brazo del arma y está inconsciente. +20 puntos de daño.","Presa en el cuello del adversario. Si lleva armadura en el cuello, está desarmado y además aturdido y sin poder parar durante 3 asaltos. De no llevarla, muere después de 6 asaltos.","El ataque consigue una presa de estrangulación. El adversario no consigue liberarse y muere después de agitarse durante 9 asaltos."
"Inmovilizas las dos piernas del adversario. Cae al suelo y pierde la consciencia. +9 puntos de daño. Suma +20 a tu siguiente ataque.","Consigues hacer presa en el cuello del adversario. Cae al suelo inconsciente. El cuello torcido hace que luche con un -90.","Presa en el cuello. Si el adversario lleva armadura en el cuello, lucha con un -75 por tener el cuello torcido y está aturdido durante 3 asaltos. De no llevarla, éste se rompe y el adversario muere.","Presa en la cabeza. Si el adversario dispone de yelmo, está aturdido y sin poder parar durante 9 asaltos. De lo contrario, está en coma durante 10-100 días por fractura de cráneo.","Aplastas la traquea del adversario. Muere instantáneamente por 'shock' generalizado y asfixia. Suma +25 a tu siguiente ataque."
